subj,1_repeated_near,1_repeated_far,1_random_near,1_random_far,2_repeated_near,2_repeated_far,2_random_near,2_random_far,3_repeated_near,3_repeated_far,3_random_near,3_random_far,4_repeated_near,4_repeated_far,4_random_near,4_random_far,5_repeated_near,5_repeated_far,5_random_near,5_random_far,6_repeated_near,6_repeated_far,6_random_near,6_random_far
101,3050.764705882353,3691.25,3425.7894736842104,3398.214285714286,2977.842105263158,2745.5,3017,2309.470588235294,3218.8,2251.7,2841.9444444444443,2629.8947368421054,2923.5555555555557,2116.1111111111113,3134.5789473684213,2884.0714285714284,2845.3,1995.8333333333333,3428.1052631578946,2326.75,2025.764705882353,1743.9444444444443,2540.9473684210525,2142.7368421052633
102,3386.5,3181.5714285714284,3988.9473684210525,2451.4444444444443,2797.75,2163.9,3092.25,2011.2777777777778,3107.6315789473683,1831.1,2910.5263157894738,1961.1,3469.95,2064.3,3851,1704.85,2637.8,1674.4,2614.9,1642.7894736842106,2577.2,1402.75,2444.45,2066.55
103,1995.3157894736842,1743.7692307692307,1995.2777777777778,2440.3571428571427,1578.85,1682.0588235294117,1910.578947368421,2328.25,1820.15,1560.111111111111,1962.75,2212.3684210526317,1764.9473684210527,1493.3333333333333,1765.6315789473683,1778.0625,2017.1,1310.5263157894738,1882.2777777777778,1704.9333333333334,1749.842105263158,1215.3157894736842,2095.9473684210525,2001.8461538461538
104,3814.4,2739.6111111111113,3591.823529411765,2552.529411764706,3213.2,2573.6666666666665,2737.75,2816.9444444444443,2992.5789473684213,2220.4444444444443,2818.7894736842104,3514,2690.5,1962.7,2909.3888888888887,2594.6666666666665,2783.3,2381.315789473684,2345.277777777778,3045.1666666666665,2192.75,2012.611111111111,2755,2163.2631578947367
105,2643.4444444444443,2566.8333333333335,2850.3684210526317,2565.6315789473683,2461.9444444444443,2408.8947368421054,2431.6,2222.3333333333335,1958.578947368421,1619.0625,2253.8947368421054,1976.7222222222222,1817.0526315789473,1507.75,1857,1864.1875,1862.2,1563.111111111111,1851.1,1569.4,1790.888888888889,1317.388888888889,1948.2,1565.5294117647059
106,2980.1052631578946,1625.2105263157894,2687.8,2152.157894736842,3051.4736842105262,1762.15,2919.85,2163.7894736842104,1834.0526315789473,1649.157894736842,2517.4736842105262,1983.95,2305.3,1544.25,2754.1111111111113,1926.55,2201.842105263158,1964.3684210526317,2292.05,2112.8,2023.85,1373.7368421052631,2125.7368421052633,2169.684210526316
107,1944.578947368421,2221.4615384615386,2270.2631578947367,1961.9444444444443,1655,1829.5882352941176,2170.5,1862.125,1486.65,1776.0588235294117,1798.8947368421052,1676.7222222222222,1611.1,2135.8888888888887,1943.3,1589.4,1491.55,1767.4444444444443,1737.421052631579,1705.35,1415.05,1783.3529411764705,2078.8,1935.2777777777778
108,3766.7368421052633,3018.7368421052633,3504.1052631578946,3666.8333333333335,3364.4,2487.2105263157896,3394.4,2865.3888888888887,3780.1052631578946,2641.4210526315787,3049.4,3309.35,3047.15,3012.4210526315787,2948.8333333333335,3040.9473684210525,3148.1052631578946,1947.8,2471,3344.5555555555557,2511,2129.35,2851.65,2548.684210526316
109,3126.6,3157.6470588235293,3338.3888888888887,2512.1875,2764.35,2060.4210526315787,2798.9,2023.3684210526317,2545.45,2223.4736842105262,2510.5789473684213,2176.1,2264.45,2075.4,2729.45,2056.157894736842,2484.95,1785.2222222222222,2482.65,2044.4736842105262,2561.65,1824,2401.55,1703.3
110,3129.625,2811.375,3317.6,3367.909090909091,3303.1875,3445.6363636363635,3051.5789473684213,2420.5714285714284,3319.8333333333335,2371.9333333333334,3387.1666666666665,3256.3846153846152,2913.4210526315787,2593.266666666667,2782.05,2741.3529411764707,2637.2,2324.1111111111113,2666.1,2433.315789473684,2670.7894736842104,2160.684210526316,2589.9,1796.125
111,2577.1666666666665,2006.1764705882354,2521.4615384615386,1808.5454545454545,2295.4736842105262,1683.6153846153845,2453.125,2379.6153846153848,2042.8125,1665,2261.277777777778,2000.642857142857,2135.4666666666667,1479.8333333333333,1950.3333333333333,2061.090909090909,1881,1573.090909090909,2519.9473684210525,1866.1,1962.7857142857142,1689.8461538461538,1921.6842105263158,1912.3333333333333
112,3286.6315789473683,2491.764705882353,3208.315789473684,3601.55,2966.684210526316,2790.3333333333335,3150,3528.9411764705883,2607.75,2324.3,3342.6315789473683,2347.235294117647,3192.9473684210525,2155.4,3564.3,2789.0588235294117,3186,2233.529411764706,3669,2799.5882352941176,3178.315789473684,2111.9285714285716,2915.45,3691.1875
114,3279.277777777778,1812.1666666666667,3102.235294117647,3086.4285714285716,2480.1,2114.3125,2330.5,1644.2857142857142,2029.421052631579,1553.9375,2116.05,1457.7058823529412,1985.3684210526317,1934.6666666666667,2122.7894736842104,1271.7777777777778,1759.45,1566.8333333333333,1978.35,1376.111111111111,1693.3,1432.3684210526317,2163.9473684210525,1325.8235294117646
115,4816.285714285715,4118,3700.3636363636365,4719.2,3793.5,3396.777777777778,2872.5,3560.3,3311.4,2546.3333333333335,3011.777777777778,2157.1428571428573,3863,2589.6666666666665,3136.6315789473683,2088.1111111111113,3201.277777777778,1948.5454545454545,2823.3684210526317,2838,3183.8888888888887,2052.9375,3227.777777777778,2204.076923076923
116,2008.3333333333333,2305.470588235294,2170.5555555555557,2753.8,2565.5789473684213,1911.5,2096.3888888888887,2427.176470588235,2153.3,1783.7368421052631,2036.5625,1893.8,1963.7894736842106,1530.25,1718.9473684210527,2092.4117647058824,1912.4444444444443,1998.2666666666667,2427.2,1839.1875,1652,1578.9473684210527,1980.15,1993.888888888889
117,3520.6666666666665,2957.5,2852.8,3346.6666666666665,3122.8,3077.5714285714284,3048.5384615384614,3072.4444444444443,2615.8571428571427,2165.2,2579.5714285714284,2177.090909090909,2092.785714285714,1861.857142857143,2172.6,1968.8181818181818,2130.75,1418.923076923077,1803.9166666666667,1660.142857142857,1683.4666666666667,1785.5,1633.2142857142858,1940.6666666666667
118,2766.1666666666665,2410.6111111111113,2687.3529411764707,2255.3333333333335,2946,2495.1666666666665,2988.2,2476,2458.25,1996.7,2832.75,2605.842105263158,2449.684210526316,2063.7368421052633,2824.5789473684213,2542.0555555555557,2506,2030.3333333333333,2237.75,2408.777777777778,2240.95,1893.888888888889,2144.95,2514.0526315789475
119,2876,2180.1,2514.684210526316,1928.6842105263158,2604.294117647059,1838.85,2460.722222222222,1768.375,2965.0526315789475,1973.5294117647059,2213.4117647058824,1888.421052631579,2299.45,1804.95,2406.65,1789.6315789473683,1642.2631578947369,1723.611111111111,1919.3157894736842,1590.2222222222222,2000.0526315789473,1650.2777777777778,1914.4,1678.4736842105262
120,3424.0526315789475,4233.583333333333,3700.222222222222,3857.1428571428573,2410.6,3052.157894736842,2730.5,2930.25,2437.15,2507.266666666667,2662,3767.0625,2842.3,2588.4210526315787,2905.6,2853.1176470588234,2585.9444444444443,2131.5882352941176,2747.2,2403.1875,2321.6,2178.4,2722.8947368421054,2401.125
121,3841.529411764706,2629.1176470588234,3283.6923076923076,3946.076923076923,2839.6111111111113,2292.25,2755,2363.705882352941,3130,2079.684210526316,2876.8125,3052.684210526316,2280.2105263157896,2084.0555555555557,2808.3684210526317,2482.0588235294117,2502.9411764705883,2146.15,2663.2105263157896,1623,2671.1,1974.6875,2734.235294117647,2322.5
122,2460.315789473684,2232.3529411764707,2469.684210526316,2492.277777777778,2065.5,1745.7777777777778,2235.2105263157896,1710.1052631578948,2128.6666666666665,2161.764705882353,2551.05,1953.8333333333333,1982.8333333333333,1925.2631578947369,2190.95,1743.9473684210527,1871.75,1777.7368421052631,2108.3,2029.9,2007.65,1822.15,2075.45,1641.65
123,2731.5263157894738,2309.266666666667,2655.6315789473683,1807.3125,2325,2306.9285714285716,2272.15,1807,2531.5555555555557,2181.5555555555557,2213.3,1553.2222222222222,2950.3888888888887,1871.5263157894738,1859.35,1437.421052631579,2407.15,1682.421052631579,2312.75,1672.9444444444443,2236.7368421052633,1437.25,1772.7,1477.1052631578948
124,1971.2777777777778,1529.357142857143,2019.4444444444443,2280.8571428571427,2272.823529411765,1617.5333333333333,2227.25,1957.235294117647,1828.578947368421,1604.4444444444443,2167.157894736842,1723.6363636363637,1971.6,1495.7058823529412,2299.3,1650.0666666666666,1987.1666666666667,1666.157894736842,2174.705882352941,1926.625,1844.55,1613.625,2104,1490.8125
125,2884.85,2335.1111111111113,2915.7368421052633,2700.777777777778,3032.0555555555557,2161.9333333333334,3163.35,2239.9375,3429.7894736842104,2108.222222222222,3242,2416.6,3191.5,2065.5882352941176,3288.2,2238.625,3099.3888888888887,2062.4736842105262,3004.1176470588234,2327.3684210526317,2739.3,1843.25,2618.1,2044.9473684210527
126,2530.3333333333335,2820.5833333333335,2706.176470588235,2915.0625,2468.6666666666665,2031.764705882353,2333.8947368421054,2368.85,2136.823529411765,2218.2105263157896,2343.8,2144.125,2033.9,1779.2222222222222,2660.315789473684,2293.222222222222,1994.6,1442.7222222222222,2150.5,1924.2222222222222,2024.4117647058824,1878.0555555555557,2311.6666666666665,2118.7894736842104
201,1995,2152.9473684210525,2362.842105263158,2313.9444444444443,1966.3684210526317,1720.85,2024.0555555555557,1963.4,1782.95,1753.5,2309,1928.0588235294117,1812.45,1591.85,1868.8125,1769.3157894736842,1771.5,1601.95,2046.7222222222222,1995.5,2078.277777777778,1674.05,2187.3888888888887,1745.3333333333333
202,1596.625,1987.3157894736842,1914.8235294117646,1926.3529411764705,1704.6666666666667,2178.6666666666665,1926,1951.5,1527.5555555555557,1683.7777777777778,2126,1927.5263157894738,1800.842105263158,1869.3157894736842,1921.6666666666667,1932.4444444444443,1874.375,1800.388888888889,1872.3076923076924,1704.1666666666667,1420.7894736842106,1444.6315789473683,1848.5555555555557,1565.2222222222222
203,3233.235294117647,3652.3636363636365,4028.1666666666665,3580.25,2532,2971.9285714285716,2561.0526315789475,2685.375,3049.222222222222,2991.6363636363635,2852.875,2937,2788.294117647059,2552.5833333333335,2980.9411764705883,2612.3846153846152,2887.9473684210525,3886.5,2958.4,2902.230769230769,2592.6315789473683,2532.8571428571427,2647.157894736842,2375.9285714285716
204,2803.764705882353,2861.75,2264.45,2125.6666666666665,2782.0526315789475,2656,2347.25,2434.9444444444443,2248.45,2182.4444444444443,2028.1666666666667,2375.8333333333335,2571.2105263157896,1667.0526315789473,2059.9473684210525,2094.0588235294117,2415.4210526315787,1826.6315789473683,2031.9444444444443,2163.3529411764707,1982.157894736842,1815.5263157894738,1981.2777777777778,2097.3333333333335
205,3267.25,3693.8571428571427,3027.090909090909,2964.5454545454545,3133,2839.8333333333335,3029.5833333333335,3086.0714285714284,2470.090909090909,2523.6875,3408,2606.5,2888.125,2559.1111111111113,3072.8125,2834.6153846153848,2727.875,2271,2871.75,2823.6,2629.0666666666666,2561.6111111111113,2512.6875,2840.5
206,2452.222222222222,2402.722222222222,2706.8,2494.5,2050.75,1841.5,2409,2336.4,1697.4117647058824,1420.111111111111,2380.5555555555557,1734.2666666666667,2105.9444444444443,1535.1764705882354,2261.4444444444443,2040.9375,1769.5,1310.7857142857142,2068.8888888888887,2124.9285714285716,2067.6111111111113,1320.6842105263158,1931.3157894736842,2006.111111111111
207,2510.842105263158,2760.8333333333335,3032.3,2508.9444444444443,2635.5555555555557,2065.157894736842,2496.1111111111113,2000.5,2268.65,2080.3684210526317,2583.722222222222,1979.6,2188.1176470588234,2269,2783.529411764706,1690.2631578947369,1897.3529411764705,1980.421052631579,2091.9444444444443,1841.157894736842,2044.6875,1835.1,2701.176470588235,1781.25
208,2567.3333333333335,2678.823529411765,2986.8333333333335,2716.705882352941,2551.5555555555557,2526.3684210526317,2263.3,2502.0555555555557,1944.888888888889,2036.9,2337.7368421052633,2258.3333333333335,2195.4444444444443,1740,2275.1111111111113,1705.7058823529412,2118.8888888888887,1747.45,2045.2631578947369,2202.722222222222,1964.55,1791.15,2234.315789473684,1978.7777777777778
209,2957.9333333333334,1803.35,2652.6666666666665,1995.3333333333333,2225.0555555555557,1242.35,2199.2631578947367,1628,1841.9,1044.1052631578948,2398.4,1654.1,1869.6666666666667,1186.9444444444443,2140.0526315789475,1451.3,1715.4736842105262,954.7,1989.5263157894738,1373.7777777777778,1848.7368421052631,954.55,2472.4,1208.5
210,2643.8571428571427,1752.2777777777778,2174.2,2136.4666666666667,2445.0625,1747.5263157894738,2330.5,1932.5882352941176,2429.3684210526317,1386.7222222222222,2370.1666666666665,1598,2142.9,1408.3529411764705,2353.5263157894738,1228.842105263158,2061.4,1290.1176470588234,2117,1670.8333333333333,2433.6111111111113,1229.4444444444443,1986.1764705882354,1398.5555555555557
211,2413.9,2527.5,2527.4,2015.6666666666667,2369.842105263158,2372.3,2693.1052631578946,2224.842105263158,2179.5,1885.6842105263158,2202.0555555555557,1987.4,2037.6315789473683,2213.7894736842104,2069.157894736842,1672.611111111111,2251.25,2001.2,2012.111111111111,1449.5,2054.6,1551.25,1762.842105263158,1739.55
212,3177.5833333333335,2723.1052631578946,3590.230769230769,3086.733333333333,3525.8333333333335,2333.823529411765,3158.25,2544.4666666666667,3183.0833333333335,2391.722222222222,3224.75,2556.076923076923,2672.153846153846,2028.9473684210527,2947.733333333333,2252.1176470588234,2804.4117647058824,1421.2105263157894,2593.4166666666665,2073.6,2555.4545454545455,1931.3,2871.714285714286,1633.8235294117646
213,3372.733333333333,4076.3571428571427,3752.35,3259.705882352941,3932,3324.1428571428573,3968.625,3385.5,3744.1111111111113,3062.1111111111113,3083.722222222222,3508.8333333333335,3827.4444444444443,3149.4736842105262,3436.470588235294,2428.6470588235293,3113,2182.25,2912.222222222222,2437.5,2975,2248.4117647058824,2699.777777777778,2210.7368421052633
214,3302.153846153846,2565.6,2851.3636363636365,2722.875,2425.8947368421054,2045.9333333333334,2704.777777777778,1871.5,1906.5,1751.5555555555557,2068.8888888888887,2072.5,1931.9411764705883,1465.111111111111,1910.642857142857,1712.7222222222222,2294.315789473684,1634.7894736842106,2186.9473684210525,1917.0526315789473,1713.6470588235295,1388,2216.5,1665.888888888889
215,2817.722222222222,3399,3397.157894736842,3306.3888888888887,2551.7894736842104,2460.15,2364.6666666666665,2659.2105263157896,2128.1111111111113,2217.1666666666665,2414.2105263157896,2304.8947368421054,3133.722222222222,2688,3359.4117647058824,2792.4285714285716,2864.3529411764707,2989.1111111111113,3221.529411764706,2996.5263157894738,2525.7,2616.8,2907.8947368421054,2795.3333333333335
216,2595.9411764705883,1805.888888888889,2233,1732.3684210526317,2079.6470588235293,1619.421052631579,2468.222222222222,1486.7,2295.8823529411766,1462.5555555555557,2476.3529411764707,1568.95,2333.4736842105262,1186.7,2220.125,1536.35,2052.684210526316,1354.5555555555557,1983,1303.388888888889,2455.7,1395.1,2029.25,1357.7777777777778
217,2759.5555555555557,2696.923076923077,2963.1666666666665,3093.25,2824.0588235294117,2018.6875,2611.5,2446.764705882353,2755.9444444444443,2391.6875,2711.75,2739.705882352941,2371.222222222222,1886.8235294117646,2417.35,1918.8947368421052,2085,1820,2273.1111111111113,1754.625,2198.4,1835.7058823529412,2282.4444444444443,1596.85
218,4237.944444444444,2821.5,3209.705882352941,3349.733333333333,3128.722222222222,2301.3076923076924,3575.764705882353,2481.285714285714,2604.3684210526317,1838,3082.5,2520.722222222222,2887.3529411764707,2097.0714285714284,3019.95,2471.4375,2446.35,2109.8125,2696.157894736842,1630.6315789473683,2808.4736842105262,1876.5625,2914.9473684210525,2412.4210526315787
219,3577.230769230769,2793.9411764705883,3378.0666666666666,2696.7368421052633,3025.153846153846,2306.9411764705883,2865.5,1946,2645.5,1776.75,3206.294117647059,2227.235294117647,2993.8947368421054,1844.7777777777778,3102.875,2568.4117647058824,2291.5789473684213,1865.235294117647,2737.5,2221.4736842105262,2231.3333333333335,1698.3684210526317,2532,1910.4375
220,2612.6,2032.3157894736842,2551.5555555555557,2032.5,2706,1618.9473684210527,2474.1875,1883.4705882352941,2283.3125,1452.35,2278.6666666666665,1598.5882352941176,2283.9473684210525,1636.0526315789473,2139.9444444444443,1427.2631578947369,2266.9,1434.5,2095.5555555555557,1514.9473684210527,1881.6842105263158,1371.85,2274.529411764706,1394.8333333333333
